grid_id,alias
grid.8761.8,Göteborgs universitet
grid.8784.3,Statens teknologiske institutt
grid.8784.3,Teknologisk Institutt AS
grid.8842.6,TU Cottbus
grid.8954.0,Univerza v Ljubljani
grid.8970.6,Pasteur-Lille
grid.8982.b,Università di Pavia
grid.8993.b,Uppsala universitet
grid.9008.1,Szegedi Tudományegyetem
grid.9122.8,Gottfried Wilhelm Leibniz Universität Hannover
grid.9273.f,Det Norske Veritas Germanischer Lloyd
grid.9424.b,Vilniaus Gedimino Technikos Universiteta
grid.9563.9,Universitat de les Illes Balears
grid.9580.4,Háskólinn í Reykjavík
grid.9581.5,School of Medicine for Javanese
grid.9582.6,University College Ibadan
grid.9594.1,Panepistimio Ioanninon
grid.9601.e,İstanbul Üniversitesi
grid.9612.c,Universitat Jaume I
grid.9621.c,Université Grenoble I
grid.9668.1,Itä-Suomen Yliopisto
grid.9679.1,Pécsi Tudományegyetem
grid.9681.6,Jyväskylän yliopisto
grid.9707.9,Kanazawa daigaku
grid.9723.f,Maha Witthayalai Kasetsat
grid.9757.c,Keele University
grid.9759.2,University of Kent at Canterbury
grid.9845.0,Latvijas Universitāte
grid.9851.5,Schola Lausannensis
grid.9906.6,Università del Salento
grid.9922.0,University of Mining and Metallurgy
grid.9922.0,Akademia Górniczo-Hutnicza im. Stanisława Staszica
grid.9982.a,Slovenská Zdravotnícka Univerzita v Bratislave
grid.10041.34, University of San Fernando de La Laguna
grid.10049.3c,Ollscoil Luimnigh
grid.10097.3f,Centre Nacional de Supercomputació
grid.10210.32,Universidade Lusíada do Porto
grid.10212.30,Panepistímio Makedonías
grid.10251.37,Gāmaʿat al-Mansoura
grid.10267.32,Masarykova univerzita
grid.10306.34,Sanger Centre
grid.10334.35,Miskolci Egyetem
grid.10334.35,Technical University of Heavy Industry
grid.10346.30,Leeds Polytechnic
grid.10346.30,Leeds Metropolitan University
grid.10347.31,Universiti Malaya
grid.10392.39,"Eberhard Karls University, Tübingen"
grid.10414.30,UMF Tîrgu Mureș
grid.10414.30,Universitatea de Medicină și Farmacie din Tîrgu Mureș
grid.10493.3f,Rostock University
grid.10516.33,İstanbul Teknik Üniversitesi
grid.10548.38,Stockholms universitet
grid.10599.34,National Agrarian University - La Molina
grid.10698.36,UNC-Chapel Hill
grid.10733.36,University of Niamey
grid.10789.37,Uniwersytet Łódzki
grid.10818.30,Kaminuza nkuru y’u Rwanda
grid.10822.39,Univerzitet u Novom Sadu
grid.10825.3e,Syddansk Universitet
grid.10839.33,University of Victor Segalen Bordeaux IV
grid.10858.34,Oulun yliopisto
grid.10863.3c,Universidá d'Uviéu
grid.10914.3d,Royal NIOZ
grid.10917.3e,Institute of Marine Research
grid.10917.3e,Havforskningsinstituttet
grid.10919.30,Universitetet i Tromsø
grid.10939.32,Tartu Ülikool
grid.10979.36,Univerzita Palackého v Olomouci
grid.11024.36,Paris Dauphine
grid.11028.3a,Univerzita Pardubice
grid.11047.33,Panepistímio Patrón
grid.11134.36,Peyups
grid.11134.36,UP Diliman
grid.11135.37,Imperial University of Peking
grid.11136.34,Universitat de Perpinyà Via Domitia
grid.11142.37,Universiti Pertanian Malaysia
grid.11173.35,Punjab University
grid.11175.33,Univerzita Pavla Jozefa Šafárika v Košiciach
grid.11176.30,UP Los Baños
grid.11205.37,Saragossa University
grid.11220.30,Boğaziçi Üniversitesi
grid.11318.3a,University of Paris North
grid.11355.33,Sv. Kliment Ohridski
grid.11355.33,Sofiyski universitet
grid.11355.33,St. Kliment Ohridski
grid.11374.30,Univerzitet u Nišu
grid.11375.31,"Institut ""Jožef Stefan"""
grid.11469.3b,Trentino Institute of Culture
grid.11477.34,Universiteti Politeknik i Tiranës
grid.11480.3c,Euskal Herriko Unibertsitatea
grid.11500.35,Fachhochschule Hamburg
grid.11503.36,Colonial Museum
grid.11503.36,Colonial Institute
grid.11543.32,Association pour la recherche et le développement des méthodes et processus industriels
grid.11553.33,Padjadjaran University
grid.11567.34,Mediterranea University
grid.11567.34,Mediterranea University of Reggio Calabria
grid.11667.37,University of Reims
grid.11702.35,Roskilde Universitet
grid.11793.3d,Universidad de San Carlos de Guatemala
grid.11804.3c,Semmelweis Egyetem
grid.11835.3e,Sheffield University
grid.11841.3d,Medical Center of Fudan University
grid.11866.38,Uniwersytet Śląski w Katowicach
grid.11869.37,Univerzitet u Sarajevu/Универзитет у Сарајеву
grid.11914.3c,St Andrews University
grid.11951.3d,Wits University
grid.11956.3a,Universiteit van Stellenbosch
grid.12056.30,University of Suceava
grid.12056.30,"Universitatea ""Ștefan cel Mare"" din Suceava"
grid.12112.31,Institutt for Energiteknikk
grid.12148.3e,Santa Maria University
grid.12306.36,Universiteti i Tiranës
grid.12316.37,Univerzitet Crne Gore
grid.12332.31,Lappeenrannan teknillinen yliopisto
grid.12354.31,"University of Technology, Malaysia"
grid.12362.34,Prifysgol Cymru Y Drindod Dewi Sant
grid.12364.32,University of Benin
grid.12366.30,University of Tours
grid.12650.30,Umeå universitet
grid.12826.3f,Hydraulics Research Station
grid.12847.38,Uniwersytet Warszawski
grid.12955.3a,Xiàmén Dàxué
grid.13063.37,London School of Economics
grid.13276.31,Szkoła Główna Gospodarstwa Wiejskiego
grid.13291.38,Sìchuān Dàxué
grid.13339.3b,Warszawski Uniwersytet Medyczny
grid.13394.3c,Shinjang Tibbiy Universitet
grid.13394.3c,Xinjiang Medical College
grid.13399.31,Ytkemiska Institutet
grid.13402.34,Zheda
grid.13402.34,Chekiang University
grid.13464.34,"Institute of Oil, Fuels and Lubricants"
grid.13508.3f,Danmarks og Grønlands Geologiske Undersøgelse
grid.13574.34,Ministry of Enterprise and Innovation
grid.13797.3b,Åbo Akademi
grid.13799.35,Corus Group
grid.13950.3e,Neurobiologie de l'Olfaction
grid.13985.36,Forskningsrådet
grid.13985.36,Norges Forskningsråd
grid.13992.30,Machon Weizmann LeMada
grid.14001.34,École Centrale des Arts et Manufactures
grid.14003.36,UW–Madison
grid.14003.36,"University of Wisconsin, Wisconsin"
grid.14004.31,Universitatea de Vest din Timișoara
grid.14013.37,Háskóli Íslands
grid.14076.34,British Maritime Technology
grid.14094.38,Ymparistoministerio Milijoministeriet
grid.14127.31,Company Portuguesa Rádio Marconi
grid.14127.31,PT Portugal SGPS
grid.14170.33,Danmarks Meteorologiske Institut
grid.14232.36,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu
grid.14329.3d,Klaipėdos Universitetas
grid.14352.31,Mustafa Kemal Üniversitesi
grid.14442.37,Hacettepe Üniversitesi
grid.14476.30,Lomonosov Moscow State University
grid.14509.39,Jihočeská Univerzita v Českých Budějovicích
grid.14750.37,Tudomanyos Es Technologiai Alapitvany
grid.14758.3f,Terveyden ja Hyvinvoinnin Laitos
grid.14848.31,Université de Montréal
grid.14906.3a,Panteion University of Social and Political Sciences
grid.15011.34,Rannsóknastofnun Fiskiðnaðarins
grid.15043.33,Universitat de Lleida
grid.15058.39,Cumann Ollscoileanna Éireann
grid.15060.32,Sihtasutus Archimedes
grid.15078.3b,International University Bremen
grid.15098.35,Suomen Akatemia
grid.15098.35,Finlands Akademi
grid.15140.31,ENS Lyon
grid.15140.31,Normale Sup' Lyon
grid.15227.33,Slovenská poľnohospodárska univerzita
grid.15276.37,University of the State of Florida
grid.15312.34,National Institute of Aeronautics
grid.15363.32,INP Toulouse
grid.15419.38,Alsthom
grid.15462.34,University for Continuing Education Krems
grid.15485.3d,Helsingfors universitets centralsjukhus
grid.15485.3d,Helsingin seudun yliopistollinen keskussairaala
grid.15638.39,Institute of Geological and Nuclear Sciences
grid.15649.3f,Helmholtz Centre for Ocean Research
grid.15653.34,University of Mali
grid.15736.36,The City of Paris Industrial Physics and Chemistry Higher Educational Institution
grid.15751.37,Huddersfield University
grid.15810.3d,Kıbrıs Teknoloji Üniversitesi
grid.15866.3c,Czech University of Agriculture in Prague
grid.15866.3c,Česká zemědělská univerzita v Praze
grid.15878.33,University of Paris VIII
grid.15895.30,Örebro Universitet
grid.15935.3b,Strålsäkerhetscentralen
grid.15935.3b,Säteilyturvakeskus
grid.16082.3d,Verein Euresearch
grid.16299.35,Oikonomiko Panepistimio Athinon
grid.16477.33,Marmara Üniversitesi
grid.16487.3c,Kafkas Üniversitesi
grid.16527.37,Ministry of Economy and Competitiveness
grid.16563.37,University of Eastern Piedmont
grid.16697.3f,Estonian Agricultural University
grid.16697.3f,Eesti Maaülikool
grid.16750.35,College of New Jersey
grid.16780.38,Université Lille II
grid.16821.3c,Shanghai Communications University
grid.16890.36,PolyU
grid.16977.3e,Háskólinn á Akureyri
grid.16982.34,Högskolan Kristianstad
grid.16985.33,Yuriy Fedkovych Chernivtsi National University
grid.16985.33,Chernivtsi University
grid.17033.36,Technologické centrum AV ČR
grid.17089.37,UAlberta
grid.17091.3e,McGill University College of British Columbia
grid.17100.37,Meteorological Office
grid.17242.32,Selçuk Üniversitesi
grid.17329.3e,Daugavpils Universitāte
grid.17330.36,Rīgas Stradiņa universitāte
grid.17568.3d,BMW Rolls-Royce
grid.17635.36,"University of Minnesota, Twin Cities"
grid.17758.3c,National Research University
grid.17794.3c,Narodna in univerzitetna knjižnica
grid.18038.32,"Libera Università Internazionale degli Studi Sociali ""Guido Carli"" "
grid.18048.35,Hyderabad Central University
grid.18068.37,Federal Department of Economic Affairs
grid.18192.33,National Technical University Kharkiv Polytechnic Institute
grid.18376.3b,Bilkent Üniversitesi
grid.18665.3c,Institouto Technologias Ypologiston kai Ekdosewn
grid.18665.3c,Computer Technology Institute
grid.18763.3b,Moscow Institute of Physics and Technology (State University)
grid.18883.3a,Universitetet i Stavanger
grid.18887.3e,Ospedale San Raffaele
grid.18887.3e,Istituto Scientifico Universitario San Raffaele
grid.18919.38,Laboratory No. 2 of the USSR Academy of Sciences
grid.18919.38,National Research Centre Kurchatov Institute
grid.18999.30,Vasily Karazin Kharkov National University
grid.19003.3b,University of Roorkee
grid.19003.3b,IIT Roorkee
grid.19006.3e,University of California at Los Angeles
grid.19006.3e,University of California Southern Branch
grid.19006.3e,State Normal School at Los Angeles
grid.19100.39,Nii Society
grid.19169.36,Norsk Institutt for Luftforskning
grid.19190.30,Vytauto Didžiojo Universitetas
grid.19214.3f,London Transport
grid.19241.3f,ARC Fund
grid.19397.35,Vasa universitet
grid.19397.35,Vaasan yliopisto
grid.19477.3c,Norges miljø- og biovitenskapelige universitet
grid.19723.3e,Universitatea din Oradea
grid.19843.37,Athena RIC
grid.20055.32,Statens Väg- & Transportforskningsinstitut VTI
grid.20055.32,Sweden VTI 
grid.20256.33,Nihon genshiryoku kenkyū kaihatsu kikō
grid.20258.3d,Karlstads universitet
grid.20478.39,Museum of Natural Sciences
grid.20513.35,Běijīng Shīfàn Dàxué
grid.20515.33,Tsukuba daigaku
grid.20653.32,Lietuvos energetikos institutas
grid.20656.37,Centre Internacional de Mètodes Numèrics en Enginyeria
grid.20861.3d,Caltech
grid.21006.35,Canterbury College
grid.21051.37,Fachhochschule Furtwangen
grid.21113.30,Széchenyi István Egyetem
grid.21166.32,IDC Herzliya
grid.21166.32,HaMerkaz HaBein Tkhumi Herzliya
grid.21200.31,Dokuz Eylül Üniversitesi
grid.21206.37,Centre Tecnològic Ascamm
grid.21678.3a,Univerzita Tomáše Bati ve Zlíně
grid.21729.3f,Columbia College
grid.21729.3f,King's College 
grid.21940.3e,William Marsh Rice University
grid.21941.3f,Busshitsu-zairyō kenkyū kikō
grid.22023.31,Railtrack
grid.22040.34,Laboratoire national d'essais
grid.22248.3e,"Universitatea de Medicină și Farmacie ""Victor Babeş"", Timișoara"
grid.22254.33,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
grid.22266.32,Trakiyski universitet
grid.22266.32,Thrace University
grid.22459.38,Royal Research Foundation
grid.22526.31,Planung Transport Verkehr AG
grid.22539.3f,Chemický ústav SAV
grid.22557.37,Západočeská Univerzita v Plzni
grid.22642.30,Luonnonvarakeskus
grid.22657.34,Latvijas Lauksaimniecības universitāte
grid.22935.3f,Zhōngguó Nóngyè Dàxué
grid.22939.33,Sveučilište u Rijeci
grid.23048.3d,Universitetet i Agder
grid.23218.3a,GÉANT
grid.23231.31,London Met
grid.23378.3d,Oilthigh na Gàidhealtachd agus nan Eilean
grid.23618.3e,Department of Fisheries and Oceans
grid.23695.3b,York Diocesan College
grid.24194.3a,Gregor Mendel Institute of Molecular Plant Biology
grid.24349.38,Regional Technical College
grid.24349.38,Institiúid Teicneolaíochta Phort Láirge
grid.24377.35,Univerzita Mateja Bela
grid.24377.35,Matej Bel
grid.24381.3c,Karolinska Universitetssjukhuset
grid.24516.34,同济大学
grid.24516.34,同濟大學
grid.24516.34,Tóngjì Dàxué
grid.24539.39,Zhōngguó Rénmín Dàxué
grid.24539.39,People's University of China
grid.24753.37,Tropical Agricultural Research and Higher Education Center
grid.24956.3c,İstanbul Bilgi Üniversitesi
grid.25055.37,Memorial University
grid.25588.32,Uniwersytet w Białymstoku
grid.25769.3f,Gazi Üniversitesi
grid.25996.31,Consorzio Nazionale Interuniversitario per le Scienze Fisiche della Materia
grid.26083.3f,KubSU
grid.26091.3c,Keiō Gijuku Daigaku
grid.26193.3f,Ivane Javaxishvilis saxelobis Tbilisis saxelmts'ipo universit'et'i
grid.26193.3f,Ivane Javakhishvili Tbilisi State University
grid.26306.31,Scottish Fisheries Protection Agency
grid.26811.3c,Universitat Miguel Hernández d'Elx
grid.26999.3d,Tōkyō daigaku
grid.27255.37,"Shāndōng Dàxué,"
grid.27446.33,Dōngběi Shīfàn Dàxué
grid.27476.30,Nagoya Daigaku
grid.27530.33,Aalborg Universitetshospital
grid.27530.33,Aalborg University Hospital
grid.27859.31,Rangahau Ahumāra Kai
grid.27860.3b,UC Davis
grid.27871.3b,Nánjīng nóngyè dàxué
grid.27873.39,Battelle Memorial Institute
grid.27883.36,Instituto Politécnico de Viana do Castelo
grid.28009.33,Özyeğin Üniversitesi
grid.28048.36,Uniwersytet Zielonogórski
grid.28056.39,Huádōng Lǐgōng Dàxué
grid.28171.3d,Lobachevsky University
grid.28171.3d,Lobachevsky State University of Nizhni Novgorod - National Research University
grid.28224.3e,"Universitatea de Stat de Medicină și Farmacie ""Nicolae Testemițanu"""
grid.28312.3a,Jōhō Tsūshin Kenkyū Kikō
grid.28455.3e,Kadir Has Üniversitesi
grid.28665.3f,Chinese Academy
grid.28665.3f,Central Research Academy
grid.28703.3e,Beijing Polytechnic University
grid.28703.3e,Běijīng Gōngyè Dàxué
grid.29050.3e,Mittuniversitetet
grid.29328.32,Uniwersytet Marii Curie-Skłodowskiej
grid.29524.38,UKC Ljubljana
grid.29524.38,Univerzitetni klinični center Ljubljana
grid.29524.38,Ljubljana UMC
grid.29769.33,Oles Honchar Dnipropetrovsk National University
grid.29773.38,Groupe des Ecoles des Télécommunications
grid.29857.31,Penn State
grid.29906.34,Akdeniz Üniversitesi
grid.30055.33,Dàlián Lǐgōng Dàxué
grid.30805.3e,Tecnologías Avanzadas Inspiralia
grid.30977.3a,RATP Group
grid.31151.37,CHU de Dijon
grid.31432.37,Kōbe daigaku
grid.31501.36,Seoul Daehakgyo
grid.31564.35,Karadeniz Teknik Üniversitesi
grid.31730.36,FU Hagen
grid.32056.32,Savitribai Phule Pune University
grid.32140.34,Yeditepe Üniversitesi
grid.32190.39,IT-Universitetet i København
grid.32197.3e,Tokodai
grid.32197.3e,Tōkyō Kōgyō Daigaku
grid.32197.3e,Tokyo Tech
grid.32224.35,Mass General
grid.32495.39,Saint Petersburg State Technical University
grid.32867.38,"Skysoft Portugal, S.A"
grid.32995.34,Malmö University College
grid.33018.39,University of Frankfurt (Oder)
grid.33199.31,Huázhōng Kējì Dàxué
grid.33236.37,Bergamo University
grid.33440.30,Mbarara University
grid.33565.36,IST Austria
grid.33647.35,Rensselaer Institute
grid.33647.35,Rensselaer School
grid.33695.3a,Institiúid Teicneolaíochta Bhaile Atha Cliath
grid.33763.32,Peiyang University
grid.33764.35,Hāěrbīn Gōngchéng Dàxué
grid.33997.37,Pacific Community
grid.34197.38,Politechnika Częstochowska
grid.34418.3a,Húběi Dàxué
grid.34421.30,Iowa State
grid.34474.30,Research ANd Development
grid.34517.34,Adnan Menderes Üniversitesi
grid.34538.39,Uludağ Üniversitesi
grid.34555.32,Taras Shevchenko University
grid.35043.31,Moscow Institute of Steel and Alloys State Technological University
grid.35135.31,"the Academic University, SPbAU RAS"
grid.35403.31,University of Illinois
grid.35915.3b,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics"
grid.36076.34,Bolton Institute
grid.36076.34,Bolton Institute of Higher Education
grid.36083.3e,Universitat Oberta de Catalunya
grid.36193.3e,Organisation for European Economic Co-operation 
grid.36425.36,SUNY Stony Brook
grid.36567.31,K-State
